Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
A001_RP,L-(+)-Alanine,89.0478,3.86,0.1,0.1,0.2,0.2,-1.9,-2.1,0.1,-2.0,-2.1,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,1.15184439066001000000E-06,2.50939971543673000000E-06,1.00000000000000000000E+00,7.78768113128207000000E-07,1.82784097246330000000E-06,1.4E+08,1.5E+08,1.2E+08,1.6E+08,1.3E+08,1.2E+08,1.3E+08,1.3E+08,1.7E+08,2.0E+08,1.3E+08,1.0E+08,9.8E+07,1.5E+08,1.1E+08,1.1E+08,4.1E+08,5.7E+08,5.2E+08,4.3E+08,4.7E+08,6.4E+08,5.7E+08,5.9E+08,3.0E+07,2.9E+07,3.0E+07,2.8E+07,3.0E+07,2.7E+07,2.6E+07,16.0,13.6,30.6,25.7,13.7,6.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,β-Alanine,89.0477,3.92,1.09,A055,RP_pos_2020,93.60714777,234,C00099,HMDB0000056,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Alanine,89.0477,3.86,1.09,A072,RP_pos_2020,93.42507112,5735,C00041,HMDB0000161,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sarcosine,89.0477,3.85,1.09,A026,RP_pos_2020,79.34265726,1057,C00213,HMDB0000271,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in-source L-cysteinesulfinic acid,89.0477,3.98,1.09,,RP_neg_2020,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A002_RP,L-a-Amino-n-butyric acid,103.0633,4.05,0.5,0.5,-0.2,1.7,3.1,1.3,1.8,3.7,2.0,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,1.28364546058307000000E-07,1.26766190137554000000E-11,3.15320021979938000000E-06,8.43317954796955000000E-08,2.92047867371063000000E-12,5.64232578959643000000E-08,1.1E+09,2.0E+09,1.2E+09,1.3E+09,1.2E+09,1.7E+09,1.1E+09,1.5E+09,4.3E+08,4.6E+08,3.0E+08,4.3E+08,3.6E+08,5.0E+08,3.4E+08,5.5E+08,1.5E+08,1.7E+08,1.4E+08,1.3E+08,1.4E+08,1.1E+08,1.1E+08,1.1E+08,1.3E+06,1.3E+06,1.3E+06,1.2E+06,1.6E+05,1.1E+06,1.1E+06,20.7,12.5,10.0,14.5,16.9,3.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-a-Amino-n-butyric acid,103.0633,4.36,-0.17,E19,RP_pos_2020,89.90492779,72524,C02356,HMDB0000452,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,γ-Aminobutyric acid (GABA),103.0633,4.06,-0.17,B001,RP_pos_2020,86.41092799,116,C00334,HMDB0000112,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"N,N-Dimethylglycine",103.0633,3.99,-0.17,A081,RP_pos_2020,63.26597021,653,C01026,HMDB00093,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A003_RP,Choline,103.0997,3.82,0.1,0.3,0.1,0.6,0.2,-0.4,0.4,0.2,-0.2,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,2.21695712593508000000E-01,1.00000000000000000000E+00,6.78514683225312000000E-01,1.53719083042692000000E-01,5.29570299857447000000E-01,9.99999999992595000000E-01,4.0E+08,4.6E+08,4.3E+08,4.2E+08,4.1E+08,7.9E+08,4.9E+08,4.3E+08,2.8E+08,4.2E+08,3.0E+08,2.8E+08,2.8E+08,2.3E+08,3.0E+08,4.4E+08,3.2E+08,3.0E+08,3.8E+08,4.0E+08,4.4E+08,4.4E+08,3.8E+08,3.9E+08,7.0E+05,9.9E+05,1.8E+05,2.0E+05,2.2E+05,1.9E+05,1.7E+05,15.2,13.2,29.9,3.8,33.4,9.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Choline,103.0997,3.88,-0.15,B018,RP_pos_2020,,299,C00114,HMDB0000097,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A004_RP,L-Serine,105.0426,3.74,-0.1,0.5,0.2,0.6,0.1,-0.5,0.0,-0.2,-0.2,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,6.63194333638838000000E-02,1.00000000000000000000E+00,2.46471223426991000000E-01,1.00000000000000000000E+00,1.00000000000000000000E+00,9.99999999992595000000E-01,3.0E+08,3.4E+08,3.2E+08,2.9E+08,3.0E+08,2.6E+08,3.3E+08,3.0E+08,2.1E+08,3.2E+08,2.3E+08,2.9E+08,2.1E+08,2.9E+08,1.8E+08,2.5E+08,2.0E+08,2.4E+08,2.8E+08,2.7E+08,3.2E+08,4.1E+08,3.4E+08,4.0E+08,1.9E+06,1.6E+06,2.3E+05,1.7E+06,1.3E+06,1.5E+06,1.3E+06,25.7,22.6,9.9,11.8,10.4,4.4,,,
